freessolv_index,iupac,delta_F,exp_dG,calc_dG,elapsed_time
0,"4-methoxy-N,N-dimethyl-benzamide",-9.626981223988237,-11.01,-9.625,1671.2969841957092
1,"methanesulfonyl chloride",-5.934209920520779,-4.87,-6.219,1646.0807206630707
2,"3-methylbut-1-ene",1.9554034564438936,1.83,2.452,1699.4510054588318
3,"2-ethylpyrazine",-5.296549937472742,-5.45,-5.809,1652.2202785015106
4,"heptan-1-ol",-2.76757713235353,-4.21,-2.917,1689.5732097625732
5,"3,5-dimethylphenol",-5.396081243141279,-6.27,-5.444,1671.075889825821
6,"2,3-dimethylbutane",2.1838643606015076,2.34,2.468,1681.9634776115417
7,"2-methylpentan-2-ol",-2.7940906069430698,-3.92,-2.779,1695.0085048675537
8,"1,2-dimethylcyclohexane",1.1124211535849813,1.58,1.685,1641.933565378189
9,"butan-2-ol",-2.712854994851731,-4.62,-3.145,1687.2182693481445
10,"dibromomethane",-0.16508032085130678,-1.96,-0.405,1610.369026184082
11,"2-methylpentan-3-ol",-2.400394784313131,-3.88,-2.416,1677.6300547122955
12,"2-ethylpyridine",-3.2339575492749857,-4.33,-3.31,1674.5235829353333
13,"ethyl pentanoate",-3.065140789481137,-2.49,-3.11,1664.9961576461792
14,"benzenethiol",-2.091038173944082,-2.55,-1.501,1578.8691596984863
15,"(2Z)-3,7-dimethylocta-2,6-dien-1-ol",-2.073588258143029,-4.78,-2.597,1682.8320899009705
16,"indane",-1.9073261712686873,-1.46,-1.752,1609.0261545181274
17,"ethoxybenzene",-2.4254687831973287,-2.22,-2.254,1691.3840086460114
18,"4-bromophenol",-5.359013948174969,-5.85,-5.833,1607.4531848430634
19,"2,2-dimethylpentane",2.2879211458023807,2.88,2.686,1656.976327419281
20,"2-acetoxyethyl acetate",-7.743381869462496,-6.34,-8.292,1672.1443886756897
21,"ethion",-12.671548088153465,-6.1,-10.644,1653.3604888916016
22,"cycloheptanol",-4.109464130863915,-5.48,-4.345,1605.5283615589142
23,"methyl cyclopropanecarboxylate",-3.958905613982413,-4.1,-3.604,1657.7164905071259
24,"benzonitrile",-2.89140122651186,-4.1,-3.238,1583.9461922645569
25,"pentanenitrile",-2.241130193573061,-3.52,-2.147,1715.0048818588257
26,"2-methylpropan-2-ol",-2.938892012198623,-4.47,-3.288,1695.8164258003235
27,"2,4-dimethylpentan-3-one",-2.868639516092046,-2.74,-2.629,1660.3175868988037
28,"propanal",-3.064982571099322,-3.43,-3.148,1669.5664999485016
29,"N,N-dimethylformamide",-6.654653981381016,-7.81,-6.932,1668.9043264389038
30,"p-xylene",-1.1586076941018697,-0.8,-0.658,1706.5567872524261
31,"penta-1,4-diene",2.0101106856068998,0.93,2.357,1680.286316394806
32,"2-(2,3-dimethylphenyl)aminobenzoic acid",-15.762812530684412,-6.78,-7.665,1693.0614259243011
33,"N,N-dimethylbenzamide",-8.534478906630307,-9.29,-8.113,1669.7089803218842
34,"N-ethylethanamine",-2.263770082093819,-4.07,-2.986,1710.5811178684235
35,"4-tert-butylphenol",-5.3389209513390234,-5.91,-5.543,1672.6082820892334
36,"isopentyl formate",-2.9736052562998396,-2.13,-3.414,1673.0378155708313
37,"decan-1-ol",-2.243942396348132,-3.64,-2.446,1685.3435456752777
38,"ethyl propanoate",-3.2351405825732718,-2.68,-3.221,1711.2969563007355
39,"nonane",2.597437758664198,3.13,3.221,1661.0178694725037
40,"N-methylacetamide",-8.059335882447831,-10.0,-8.276,1681.5287408828735
41,"non-1-ene",2.6674538336223494,2.06,2.995,1680.7589793205261
42,"naphthalen-2-ol",-7.24746817021309,-8.11,-7.849,1589.1293721199036
43,"1,2,4-trichlorobenzene",-0.057933705266759415,-1.12,-0.117,1578.8829703330994
45,"methyl butanoate",-3.44841494549671,-2.83,-3.552,1710.5572340488434
46,"2-hydroxybenzaldehyde",-7.891088554421723,-4.68,-8.809,1590.8589470386505
47,"azetidine",-3.7541668166522637,-5.56,-3.861,1640.4490168094635
48,"N-propylpropan-1-amine",-1.8493893788384028,-3.65,-2.233,1700.7753612995148
49,"aniline",-5.308052439579343,-5.49,-5.543,1629.1583445072174
50,"tetrafluoromethane",1.8363372602899706,3.12,2.489,1506.3678650856018
51,"2-methylbutan-1-ol",-2.506723795919519,-4.42,-2.995,1703.6881396770477
52,"2-iodophenol",-3.3511743172512083,-6.2,-3.221,1646.0358822345734
53,"2,6-dimethoxyphenol",-6.546441372150995,-6.96,-7.393,1684.002788066864
54,"but-1-yne",0.7277447484040738,-0.16,0.284,1698.6475238800049
55,"trifluoromethylbenzene",-1.1534053016811558,-0.25,-0.57,1593.6265172958374
56,"hydrazine",-3.766535118984962,-9.3,-6.508,1626.6660068035126
57,"2-methylpyridine",-3.108386798048182,-4.63,-3.501,1685.0934233665466
58,"simazine",-10.157892830051837,-10.22,-10.914,1687.8577165603638
59,"2,3-dichlorodibenzo-p-dioxin",-2.7465696079981066,-3.56,-3.59,1614.490972518921
60,"octan-1-amine",-1.575492382123839,-3.65,-2.589,1681.786850452423
61,"ammonia",-1.1807592844023642,-4.29,-4.018,1645.086181640625
62,"1,2-bis(trifluoromethyl)benzene",-2.1610614119497606,1.07,-1.441,1632.5555047988892
63,"methyl paraben",-9.061524490422194,-9.51,-9.785,1681.84685754776
64,"pentylbenzene",-0.7258373916538247,-0.23,-0.094,1670.0359463691711
65,"1,1-difluoroethane",-0.2478172572144709,-0.11,0.226,1667.1255331039429
66,"5-Amino-4-chloro-2-phenylpyridazin-3(2H)-one",-14.677531352626454,-16.43,-16.039,1649.8837912082672
67,"butadiene",1.9806990228933232,0.56,1.955,1663.3026387691498
68,"N,N-dimethylmethanamine",-2.560463016660037,-3.2,-2.636,1700.2892878055573
69,"hexanamide",-7.4545231241089,-9.31,-8.103,1670.4869875907898
70,"isobutyl nitrate",-0.5372433732115524,-1.88,-1.835,1703.9274904727936
71,"1-(2-hydroxyethylamino)-9,10-anthraquinone",-12.210786415795857,-14.21,-13.599,1617.5202691555023
72,"2-(nitrooxy)ethan-1-ol",-3.873866087241245,-8.18,-6.676,1678.985062122345
73,"octan-2-one",-2.7736675267461144,-2.88,-2.758,1692.1836023330688
74,"1-methylpiperazine",-7.663757947047722,-7.77,-8.173,1690.2263176441193
75,"ethanamine",-2.0718602322459776,-4.5,-3.156,1676.0459115505219
76,"cyclohepta-1,3,5-triene",-0.8687704128896696,-0.99,-0.098,1632.572438955307
77,"9,10-dihydroanthracene",-4.969242809738501,-3.78,-4.304,1597.5754940509796
78,"1,1-dichloroethane",-0.09316996588586646,-0.84,0.187,1637.784075975418
79,"3-methoxyphenol",-6.3990602564963135,-7.66,-6.969,1688.006292104721
80,"acenaphthene",-4.845613463648751,-3.15,-4.198,1605.073493719101
81,"1-bromooctane",0.7348805455731617,0.52,1.352,1668.6849751472473
82,"phenylmethanol",-5.0597631564795345,-6.62,-5.133,1660.554787158966
83,"5-bromouracil",-16.335645916652265,-18.17,-17.298,1589.7307612895966
84,"n-butane",2.5070092358173386,2.1,2.588,1673.817393064499
85,"chloromethane",0.637594717792432,-0.55,0.764,1677.0758516788483
86,"1-bromo-2-methyl-propane",0.6787521114809217,-0.03,0.756,1672.543125629425
87,"2-isopropylsulfanylpropane",-0.3041915461693404,-1.21,0.14,1685.3356530666351
88,"heptane",2.406411057212469,2.67,2.925,1662.6132471561432
89,"imidazole",-7.7397252919478445,-9.63,-7.972,1600.5364348888397
90,"1,2,3,7-tetrachlorodibenzo-p-dioxin",-2.236667330636951,-3.84,-2.66,1599.4888896942139
91,"bromacil",-14.244251470814579,-9.73,-14.496,1667.5737285614014
92,"diiodomethane",-1.8426366910188614,-2.49,-1.882,1613.6467502117157
93,"N,N-dipropyl(propylsulfanyl)formamide",-4.9557694935153025,-4.13,-4.569,1645.6213285923004
94,"nitromethane",-0.9334346995372361,-4.02,-2.075,1685.1792480945587
95,"methoxyethane",-1.013346350627053,-2.1,-0.71,1668.0942726135254
96,"2-chloro-1,1,1-trimethoxy-ethane",-3.878404744530864,-4.59,-3.638,1700.9364268779755
97,"isobutane",2.176138653622933,2.3,2.535,1703.1589405536652
98,"3-methylbutanoic acid",-11.240192269021126,-6.09,-8.844,1673.8296265602112
100,"1-chloropropane",0.764736387515821,-0.33,0.973,1717.4745874404907
101,"1-propylsulfanylpropane",-0.2781857235727715,-1.28,0.64,1681.939205646515
102,"hexan-3-ol",-2.550586171446088,-4.06,-2.585,1697.9952363967896
103,"acetonitrile",-2.295114453309526,-3.88,-2.789,1660.4376261234283
104,"N-methyl-N-(2,2,2-trifluoroethyl)aniline",-4.506396937042438,-1.92,-3.964,1683.765653371811
105,"2-chloro-2-(difluoromethoxy)-1,1,1-trifluoro-ethane",-2.038742782870138,0.1,-1.156,1603.3105356693268
106,"hexa-1,5-diene",2.054049685715056,1.01,2.487,1654.4263141155243
107,"m-xylene",-1.3502677239058138,-0.83,-0.697,1670.9241018295288
108,"methyl acetate",-3.574464628684813,-3.13,-3.83,1709.0557205677032
109,"trimethoxymethylbenzene",-5.350264321949692,-4.04,-5.559,1682.0126206874847
110,"ethyl benzoate",-4.953395854320575,-3.64,-4.597,1704.6219022274017
111,"propanethiol",-0.6643208506661655,-1.1,-0.182,1687.1303000450134
112,"heptan-2-one",-2.9281235196595965,-3.04,-2.945,1656.9815328121185
113,"carbofuran",-10.897891832178022,-9.61,-11.126,1673.8334798812866
114,"benzyl bromide",-1.9916105812794336,-2.38,-1.853,1654.474368572235
115,"ethyl hexanoate",-3.223522518087991,-2.23,-2.929,1678.1674554347992
116,"1-methoxypropane",-0.6530790210001769,-1.66,-0.598,1703.5532262325287
117,"4-methylmorpholine",-5.795775962494081,-6.32,-5.774,1699.635308265686
118,"3-hydroxybenzonitrile",-7.100390384764787,-9.65,-7.739,1586.6093249320984
119,"1,2,4,5-tetrachloro-3-(3,4-dichlorophenyl)benzene",-0.6058312368388544,-4.38,-0.705,1610.7859916687012
120,"propylbenzene",-1.1038247226506952,-0.53,-0.511,1669.5843245983124
121,"caffeine",-17.332250911218505,-12.64,-17.621,1676.0478253364563
122,"N-methylmethanamine",-2.579041043668725,-4.29,-2.991,1695.8347976207733
123,"1,1,2,3,3,3-hexafluoroprop-1-ene",1.3718190054336799,2.93,2.305,1526.2387948036194
124,"4-chlorophenol",-4.783132743361207,-7.03,-5.373,1591.7713220119476
125,"piperidine",-2.58182604445373,-5.11,-3.873,1634.6180400848389
126,"phenanthrene",-6.0969086542130535,-3.88,-5.264,1580.9041891098022
127,"iodomethane",-0.6532219772560515,-0.89,-0.641,1688.6039650440216
128,"3,5-dichloro-2,6-dimethoxyphenol",-4.152582457462363,-6.44,-5.98,1661.0819959640503
129,"(E)-1,2-dichloroethylene",0.9854643067684327,-0.78,1.024,1570.285614490509
130,"n-pentane",2.3423030712696766,2.3,2.673,1664.8742489814758
131,"butanenitrile",-2.019631283902079,-3.64,-2.287,1666.6083388328552
132,"2-bromo-1,1,1,2-tetrafluoro-ethane",-0.3436506573901832,0.5,0.234,1578.5824949741364
133,"2-isobutylpyrazine",-5.048005927451856,-5.04,-5.495,1673.602962732315
134,"[(2S)-butan-2-yl] nitrate",-0.9709480299366969,-1.82,-1.864,1673.5932745933533
135,"1,4-dichloro-2-phenyl-benzene",-1.8055645843802959,-2.46,-1.903,1582.0015454292297
136,"1,2,3,4-tetrachloro-5-phenyl-benzene",-1.8074975380427805,-3.48,-1.31,1576.7229418754578
137,"2,3-dimethylpentane",2.2473008782218913,2.52,2.625,1676.1529042720795
138,"4-methylpentan-2-ol",-2.5387072870054648,-3.73,-2.907,1688.3966591358185
139,"tetrahydropyran",-2.0380202964670304,-3.12,-1.809,1629.474541425705
140,"cyclopropane",1.7714459443395552,0.75,2.485,1654.8420910835266
141,"1,2,3,4-tetrachloro-5-(3,4,5-trichlorophenyl)benzene",-0.7178139056291526,-3.17,-0.822,1573.224354505539
142,"1,1-dichloroethylene",1.096819586061011,0.25,1.108,1645.0532686710358
143,"2-methylpropan-1-ol",-2.49827378517921,-4.5,-3.13,1663.9186239242554
144,"propyl propanoate",-3.091660452829044,-2.44,-2.453,1703.3892450332642
145,"hexachloroethane",1.1352380577608023,-0.64,0.885,1511.6051051616669
146,"methylsulfanylbenzene",-1.9076814277768572,-2.73,-1.325,1695.0265443325043
147,"2-ethylphenol",-4.580375912840792,-5.66,-4.768,1682.2269005775452
148,"2-chloro-2-methyl-propane",0.4877636799156902,1.09,0.826,1715.7751653194427
149,"isoprene",1.5171837474453627,0.68,1.824,1674.0854365825653
150,"1-isopropyl-4-methyl-benzene",-0.9770233850214673,-0.68,-0.456,1655.3423879146576
151,"1-methylimidazole",-6.073515262557257,-8.41,-6.282,1676.1781466007233
152,"ethylene glycol",-6.448368090154733,-9.3,-7.266,1666.3760323524475
153,"1,2-dichlorobenzene",-0.6147124938992914,-1.36,-0.553,1595.7187445163727
154,"6-chlorouracil",-14.145497384834353,-15.83,-15.128,1604.0315947532654
155,"propyl formate",-2.97074036121306,-2.48,-3.699,1653.408103942871
156,"2-chlorodibenzo-p-dioxin",-3.189600249704393,-3.1,-4.054,1589.6315531730652
157,"hexanoic acid",-9.921910144070235,-6.21,-7.878,1656.4893386363983
158,"diethyl butanedioate",-6.4323464553112295,-5.71,-8.683,1697.6738696098328
159,"2,4-dimethylpyridine",-3.4948658609770935,-4.86,-3.282,1677.3263697624207
160,"cyclohexene",0.576515369052497,0.14,1.175,1629.2681574821472
161,"1,4-dimethylpiperazine",-8.036014066501588,-7.58,-7.874,1663.0692873001099
162,"1,2,3,4-tetrachloro-5-(3,4-dichlorophenyl)benzene",-1.4575024853287877,-3.04,-1.083,1578.208744764328
163,"quinone",-6.523937259744219,-6.5,-6.96,1605.3691008090973
164,"methyl 2-chloroacetate",-3.576084903179569,-4.0,-3.816,1669.721352338791
165,"butanal",-3.1881580532608336,-3.18,-3.044,1668.5485310554504
166,"ethylbenzene",-1.1552171501833495,-0.79,-0.606,1676.2159614562988
167,"1,1,2-trichloroethylene",0.6802081063867784,-0.44,0.818,1569.780514240265
168,"N,N-diethylethanamine",-2.3188483717276487,-3.22,-1.955,1677.838088274002
169,"1,2,3,4,7-pentachlorodibenzo-p-dioxin",-1.9272148805092146,-4.15,-2.31,1580.5223326683044
170,"3,4-dimethylpyridine",-3.0878453143514637,-5.22,-3.201,1698.961695432663
171,"cyanuric acid",-20.45998975723924,-18.06,-21.762,1603.6247148513794
172,"benzaldehyde",-5.053518820258007,-4.02,-5.058,1590.9917469024658
173,"2-chloropyridine",-3.569736545925975,-4.39,-3.873,1588.048957824707
174,"3-chloroprop-1-ene",0.7046015989511354,-0.57,0.944,1665.2307665348053
175,"1-(p-tolyl)ethanone",-5.414372405352851,-4.7,-4.91,1690.8706641197205
176,"formaldehyde",-2.8231042668827735,-2.75,-3.155,1639.7108099460602
177,"1-chloro-2-methyl-benzene",-0.8173658350486751,-1.14,-0.473,1696.7656953334808
178,"1-pyrrolidin-1-ylethanone",-7.7329862106340705,-9.8,-7.831,1684.0275657176971
179,"1,1,1-trimethoxyethane",-4.001507965991481,-4.42,-3.7,1666.2050971984863
180,"butylbenzene",-0.9812651737575835,-0.4,-0.227,1676.0922148227692
181,"N,N-dimethylaniline",-4.5393675374484115,-3.45,-4.426,1686.0818152427673
182,"2-methoxypropane",-0.6710075694940888,-2.01,-0.657,1665.8057205677032
183,"1,2,3,4,6,7,8,9-octachlorodibenzo-p-dioxin",-1.493007031006482,-4.53,-1.147,1536.1945612430573
184,"1,2,3,4,5-pentachloro-6-(2,3,4,5,6-pentachlorophenyl)benzene",1.315217275637372,-2.98,0.76,1523.403207540512
185,"1,1,2-trichloroethane",-0.2920208822997397,-1.99,-0.384,1607.318930864334
186,"N-methylaniline",-5.450816014414294,-4.69,-5.719,1697.0478210449219
187,"isopropyl acetate",-3.5675424038078796,-2.64,-3.371,1661.7402155399323
188,"benzene",-1.2149262042251543,-0.9,-0.806,1589.2859733104706
189,"1,2,3-trichlorobenzene",-0.5394657965022365,-1.24,-0.51,1643.8604822158813
191,"3-(dimethoxyphosphinothioylsulfanylmethyl)-1,2,3-benzotriazin-4-one",-14.70698187337666,-10.03,-14.106,1671.9446833133698
192,"1,2,4-trichlorodibenzo-p-dioxin",-2.8300607219015306,-4.05,-3.16,1586.5333228111267
193,"2,3-dimethylbuta-1,3-diene",1.8735290684493,0.4,1.862,1703.8441240787506
194,"hex-1-ene",2.1316695682643627,1.58,2.628,1669.0391290187836
195,"hydrogen sulfide",-1.3792729820601985,-0.7,-1.135,1592.142202615738
196,"ethoxyethane",-0.736091530206553,-1.59,-0.617,1682.7549452781677
197,"2-N-ethyl-6-(methylsulfanyl)-4-N-(propan-2-yl)-1,3,5-triazine-2,4-diamine",-10.50796941242209,-7.65,-10.552,1657.1368036270142
198,"butyl paraben",-8.455604868915188,-8.72,-8.771,1688.06227517128
199,"hexyl acetate",-2.941919199745045,-2.26,-2.219,1679.831444978714
200,"cyclopentanone",-3.8820131916494214,-4.7,-3.889,1672.3999996185303
201,"pentanoic acid",-12.947579177433022,-6.16,-9.053,1669.3097240924835
202,"bromoethane",0.5152679732399114,-0.74,0.487,1642.888548374176
203,"2,6-dimethylnaphthalene",-3.3626258540291136,-2.63,-2.848,1639.9377698898315
204,"hexan-1-ol",-2.7988955771431283,-4.4,-3.0,1667.0744376182556
205,"1-chloro-2-phenyl-benzene",-2.9134416716930076,-2.69,-2.508,1614.5607657432556
206,"1-methylcyclohexene",0.9365167938709631,0.67,1.338,1657.9077920913696
207,"hexyl nitrate",-0.38250154819656473,-1.66,-1.596,1680.8985214233398
208,"bromoform",-0.21135538772925158,-2.13,-0.531,1583.0971693992615
209,"4-ethylphenol",-5.188090227818071,-6.13,-5.453,1682.0040867328644
210,"2-propoxyethanol",-3.148647170582983,-6.4,-3.94,1681.626586675644
211,"phenyl formate",-6.268038639328424,-3.82,-5.442,1588.0734751224518
212,"5-iodouracil",-17.16058104385746,-18.72,-17.742,1587.603343486786
